,clean_text
0,"<mark> 7 Regulations 2022 SI, 2022, No</mark>"
1,"<mark> 8 Regulations 2022 SI, 2022, No</mark>"
2,<mark> 1 issue that every one of my constituents raises when I speak to them</mark>
3,"<mark> 9B, in the Scottish Parliament and the Sewel convention, which requires legislative consent from the Scottish Parliament for this range of Bills</mark>"
4,<mark> 1 priority of public safety is guaranteed and that the No</mark>
5,"<mark> 2 priority, the desired effect of getting some gas out, assuming public safety is guaranteed, is also taken care of</mark>"
6,"<mark> Friends announcement that there will be a deployment of British Challenger 2 tanks to Poland to allow our Polish allies to send the Sovietera tanks to Ukraine, but, to my knowledge, there has not been an agreement within NATO to facilitate Polish MiG fighter jets being sent to Ukraine</mark>"
7,"<mark> I submitted a written question asking for the detail of all the routes available, and the detail of those routes fits on half a page, because there are practically none for the entire world</mark>"
8,"<mark> 83H2, That a Committee be appointed to draw up Reasons to be assigned to the Lords for disagreeing to their amendment 29B and for insisting on disagreement to Lords amendment 80, for insisting on amendments 80A to 80N in lieu and for disagreeing to Lords amendments 80P and 80Q;</mark>"
9,"<mark>During the pandemic period, over 5 million people delayed applying for a British passport</mark>"
10,"<mark> This has helped to deliver record output, with over 1 million applications processed last month alone</mark>"
11,"<mark>I would just point out that between January and March, over 90% of cases were completed within six weeks, but we advise people to allow up to 10 weeks for their application</mark>"
12,<mark>The problem we have is that this debate has to finish at 7</mark>
13,"<mark> Friend is a doughty campaigner for spending 3% and I consider him my longrange artillery when it comes to the lobbying in the long term, whatever we see as a result of the situation in Ukraine</mark>"
14,"<mark> Yes, to date we have gifted in aid £200 million to Ukraine, which we propose will grow to £500 million, and the Treasury has agreed to old for new in funding that replacement</mark>"
15,"<mark>We have given, I think, more than £100 million in aid, but I will write to the hon</mark>"
16,"<mark>Ukraine is facing a financial crisis, with the Financial Times reporting that revenues are at around half of prewar levels, and the fiscal gap for this month alone is projected to be $7 billion</mark>"
17,"<mark> He has been granted £427,000 for a range of practical initiatives designed to keep women safe on the streets at night, including drink spiking kits, taxi marshals, street pastors and more</mark>"
18,"<mark> A number of sources suggest that, to date, over 2,000 armoured vehicles have been destroyed or captured</mark>"
19,"<mark> At the start of this conflict, Russia had committed more than 120 battalion tactical groups, approximately 65% of its entire ground combat strength</mark>"
20,"<mark> According to our current assessment, about 25% of those have been rendered not combateffective</mark>"
21,"<mark> To date we have provided more than 5,000 antitank missiles, five air defence systems with more than 100 missiles, 1,360 antistructure munitions, and 4</mark>"
22,<mark>5 tonnes of plastic explosive</mark>
23,"<mark> That was quickly   followed by the Prime Ministers announcement of a further £100 millionworth of highgrade military equipment, 120 armoured vehicles, sourcing antiship missile systems, and hightech loitering munitions for precision strikes</mark>"
24,<mark> So far these efforts have yielded some 2</mark>
25,"<mark>5 million items of equipment, worth more than £1</mark>"
26,<mark>5 billion</mark>
27,"<mark> To date, we have sent more than 90,000 ration packs, more than 10 pallets of medical equipment, more than 3,000 pieces of body armour, nearly 77,000 helmets, 3,000 pairs of boots and much more, including communications equipment and ear defence</mark>"
28,"<mark> We have deployed hundreds of Royal Marines to Poland, and sent offshore vessels and Navy destroyers to the eastern Mediterranean</mark>"
29,"<mark> As the Prime Minister announced on Friday, we are also offering a deployment of British Challenger 2 tanks  to Poland, to bridge the gap between Poland donating tanks to Ukraine and their replacements arriving from a third country</mark>"
30,"<mark> I am sorry if he has cut short his trip, and I would be delighted to arrange with the Navy for him to return to the headquarters, without his phone, for longer in custody</mark>"
31,"<mark> I can update further that to date we have also supplied 5,361 NLAWsup from the original 2,000; more than 200 Javelins; and 104 highvelocity and lowvelocity antiair missilesthis will grow to more than 250</mark>"
32,"<mark> Gentleman made a point about how we are now the only country, but that is because we were the first country; when we had our £24 billion settlement, no one else in NATO had yet gone there</mark>"
33,<mark> They are still a shortrange missilethe block 1s have a range of about 7 kmand they are not strategic</mark>
34,"<mark> He says the UK has provided 5,000 antitank missiles and 100 antiair missiles, but these direct donations are a fraction of the total</mark>"
35,<mark> Is it not now time to increase defence spending to 3% of GDP</mark>
36,"<mark> She will also reflect on the fact that when the statistics for crime in England and Wales for year ending September 2021 were published, neighbourhood crime was 33% lower than the previous year, burglary offences were lower than the previous year, and other offences including robbery, vehicle offences and theft from the person were also down</mark>"
37,"<mark> She will also reflect on the fact that when the statistics for crime in England and Wales for year ending September 2021 were published, neighbourhood crime was 33% lower than the previous year, burglary offences were lower than the previous year, and other offences including robbery, vehicle offences and theft from the person were also down</mark>"
38,"<mark> Does she agree that, along with our £450 million package of military aid for Ukraine, the unprecedented package of sanctions against Russia, and worldleading aid provision, that demonstrates our unwavering commitment to the Ukrainian people in their hour of need</mark>"
39,<mark> Overall crime is up by 14%</mark>
40,<mark> This is the equivalent of hundreds of thousands more criminals getting away with their crimes</mark>
41,"<mark> One might think that, with crime up 14%, the arrest rate having halved since 2010, and prosecution rates at an alltime low, the Government might spend their time on the breadandbutter issues of law and order, such as fighting criminals</mark>"
42,"<mark> How on earth will the police know Is it fair  to our police if the law is so peculiar that they could interpret it in a million different ways, and would stand accused of bias whatever they did I urge Ministers to bear in mind the consequences of these provisions on the police officers trying to put them into practice</mark>"
43,"<mark>Throughout the proceedings on this woefully drafted Bill, I have maintained that, although it is largely reserved to England and Wales, part 3 on protest will severely restrict anyone from Scotland, or indeed anyone across these islands, from exercising their fundamental and democratic right to protest</mark>"
44,"<mark> We are back here to consider part 3 on protest, and rightly so</mark>"
45,<mark> My office also receives hundreds of emails on a daily basis asking me to stand up and act against the threat to those rights</mark>
46,<mark> 1707</mark>
47,"<mark> If we were to fastforward to a frozen conflict in which 80% of Ukraine was still sovereign, it would be entirely up to Ukraine to decide who it wanted to invite on to its territory, and for what purposes, just as it invited us there for Operation Orbital</mark>"
48,"<mark> Ukraine had British, Swedish and Canadian soldiers on its territory, and we went exercising with 5 Airborne Brigade last year; that is all possible</mark>"
49,"<mark>On behalf of the Scottish National party, I too congratulate Sir Robert Chote on his appointment</mark>"
50,"<mark> The key recommendation in that report was for 2,000 more midwives and 500 more obstetricians, and that would not have been necessary had this amendment been in place</mark>"
51,<mark> They will have no impact on improving access to care for hundreds of thousands of people currently excluded</mark>
52,"<mark> The social care cap provision does nothing to generate more care; it does nothing to give protections to unpaid carers, who are often on lower incomes but save the Government millions of pounds; and it does nothing to help the social care workforce</mark>"
53,"<mark> The changes may save the Government hundreds of millions of pounds, but they do so at the expense of those on low incomes and those who live in parts of the country where house values are lower, such as Lowestoft in my constituency</mark>"
54,"<mark> Just look at some of the challenges we face 93,000 vacancies; a £6 billion annual spend on agency staff; staff working extra unpaid hours; and some 40% off with workrelated stress at some point or other</mark>"
55,"<mark> It is already resonating among the Uyghur, who have found themselves under distinct pressure, with husbands often separated from wives and families broken apart for forced labour thousands of miles away from their homes</mark>"
56,"<mark> It is fair, affordable and designed to end the pain of unpredictable care costs by capping the amount anyone needs to pay at £86,000</mark>"
57,"<mark> As local authority contributions would count towards the cap under these changes, a 35yearold with average care costs would reach the cap and not have to pay anything towards the cost of their care, yet a person who enters care the day after their 40th birthday would need to contribute towards the £86,000 cap over their lifetime</mark>"
58,<mark> These new Lords amendments would cost the taxpayer more than £1 billion a year by 202728</mark>
59,"<mark> Friend the Member for Boston and Skegness Matt Warman and many others who have spoken in highlighting our gratitude to the NHS workforce and our recognition of the pressures they have faced, particularly over the past two to two and a half years, but also more broadly</mark>"
60,"<mark> There are different sophistications between block 1, which is just land Brimstone, and the atsea developments that we have never bought</mark>"
61,"<mark> Nor indeed were inshore vehicles, or the batch 1 offshore patrol vessels; they were not going to go anywhere else</mark>"
62,<mark>I go back to the fact that we dealt with 1 million passport applications last month alone</mark>
63,"<mark> To put that in context, we usually deal with 7 million in a whole year</mark>"
64,<mark> Last year we sent 4</mark>
65,<mark>7 million texts reminding people whose passports had expired to renew them</mark>
66,"<mark>I am extremely concerned about the safeguarding of our young people at outdoor music festivals, which attract more than 7</mark>"
